,WORKING CAPITAL,TOTAL ASSET,RETAINED EARNING,EBIT,saleS,MVE,TOTAL LIABILITIES,A WORKING CAPITAL/TOTAL ASSET,B         REATAINED EARNING/TOTAL ASSET,C  EBIT/TOTAL ASSET,D  MVE/TOTAL LIABILITES,E SALE/TOTAL ASSET,"Z SCORE
(Z-Score = 1.2A + 1.4B + 3.3C + 0.6D + 1.0E)"
CIPLA LTD.,4177.73,14363.67,1468.52,1923.3,11779.69,41946.71,14363.27,0.290853939,0.102238495,0.133900319,2.920415059,0.820125918,3.506404627
DRREDDY,,,,,,,,,,,,,
LUPIN,,,,,,,,,,,,,
PEL,,,,,,,,,,,,,
TORNTPHARM,,,,,,,,,,,,,
ABBOTINDIA,,,,,,,,,,,,,
GLAXO,,,,,,,,,,,,,
SANOFI,,,,,,,,,,,,,
PFIZER,,,,,,,,,,,,,
IPCALAB,,,,,,,,,,,,,
SUNPHARMA,,,,,,,,,,,,,
AUROPHARMA,,,,,,,,,,,,,
NATCOPHARM,,,,,,,,,,,,,
JUBILANT,,,,,,,,,,,,,
GLENMARK,,,,,,,,,,,,,
WOCKPHARMA,,,,,,,,,,,,,
CADILAHC,,,,,,,,,,,,,
AJANTPHARM,,,,,,,,,,,,,
GRANULES,,,,,,,,,,,,,
DIVISLAB,,,,,,,,,,,,,
STAR,,,,,,,,,,,,,
SPARC,,,,,,,,,,,,,
APLLTD,,,,,,,,,,,,,
SYNGENE,,,,,,,,,,,,,
ALKEM,,,,,,,,,,,,,
